date,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,SMA_20,SMA_50,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0
2024-12-13,617.3729858398438,628.051535081657,613.9296288656519,624.2100126233092,8453300,,,,,,,,,,,
2024-12-16,621.7454223632812,628.6278428855253,616.1080674222911,627.4624746323816,10885600,100.0,,,,,,,,,,
2024-12-17,616.964599609375,629.842921517428,614.0761642573996,623.6676857660912,12897800,92.2417575669334,,,,,,,,,,
2024-12-18,594.8035888671875,624.8530103874069,593.9370703121472,618.5184399880585,17075500,66.49066637346709,,,,,,,,,,
2024-12-19,593.1900024414062,609.0762755305054,592.6222729689903,607.9507863504745,14958100,65.06633268068158,,,,,,581.4783282551332,608.8153198242188,636.1523113933044,8.980388856502016,0.21420927311396892
2024-12-20,582.9112548828125,600.699869104885,577.6822346553289,588.2199724400746,48989400,56.72964084788013,,,,,,568.6427113022522,601.9229736328125,635.2032359633728,11.05798043550404,0.2143694577710389
2024-12-23,597.452880859375,598.6879766892466,583.907252912156,587.2438414694396,10205800,63.796758606603134,,,,,,572.2329812447242,597.0644653320312,621.8959494193382,8.317856958209044,0.5078210292622489
2024-12-24,605.3213500976562,605.5603812991077,596.8852265249648,600.311421467438,4726100,66.94290203419061,,,,,,578.5602056446978,594.7358154296875,610.9114252146771,5.439594981614831,0.8272066651172477
2024-12-26,600.93896484375,603.8771886834844,596.5466141290761,603.0604581414773,6081400,63.62644985962915,,,,,,578.8574454786191,595.962890625,613.0683357713809,5.740439686921465,0.6454529296421967
2024-12-27,597.4130859375,599.4449119716119,587.4430773536361,597.0146600682612,8084200,61.007692130084735,,,,,,579.9717262500144,596.8075073242187,613.643288398423,5.6419468145390415,0.5179848683768274
2024-12-30,588.8772583007812,594.5544919388965,583.239903719799,586.3972186440706,7025900,55.09564571208202,,,,,,585.9131978142145,598.0007080078126,610.0882182014107,4.042640763375199,0.12260839656361097
2024-12-31,583.170166015625,591.5963188432811,581.5167657457517,589.9031610994577,6019500,51.50203081368019,,,,,,577.1176962995607,595.1441650390625,613.1706337785643,6.0578494416789175,0.16787729764291986
2025-01-02,596.8452758789062,602.4926001052438,585.4709301048888,587.3633007502451,12682300,58.48885180056829,,,,,,578.9609037170446,593.4489501953125,607.9369966735803,4.882659737960485,0.6172113054954745
2025-01-03,602.2138671875,607.06440151266,594.026683188132,602.3433525630181,11436800,60.87203551133553,,,,,,578.5282308118199,593.7039306640626,608.8796305163053,5.112211345903861,0.7803803648692951
2025-01-06,627.6815795898438,628.4684006727375,603.1997902301983,609.384995443752,14560800,69.74556029154913,,,,,,565.2933244096612,599.7576293945312,634.2219343794013,11.492744167227203,0.9051140768335703
2025-01-07,615.4208374023438,629.5740132949604,605.7994061067093,629.175648227163,12071500,62.407863941273746,,,,,,570.8051483626576,605.0663452148438,639.3275420670299,11.324773596528768,0.6511110693559923
2025-01-08,608.2793579101562,613.9765307551536,600.3810557676817,610.9487013550364,10085800,58.54433506644094,,,,,,586.0337433948822,610.08818359375,634.1426237926179,7.885561741967907,0.4624014180201348
2025-01-10,613.39892578125,627.3927679278979,594.9529755373284,607.5922670173171,19256600,60.43529601465802,,,,,,594.4411226335195,613.3989135742188,632.3567045149181,6.18122742677648,0.5000003219528911
2025-01-13,605.8989868164062,606.5363830240626,596.058464764125,604.6738608485571,10785000,56.37816773623076,,,,,,597.1705181207188,614.1359375000001,631.1013568792813,5.524972027640453,0.2572429393153383
2025-01-14,591.875244140625,603.0703168610439,586.1980104567526,602.6520122964943,13598000,49.66442921459665,,,,603.0887817382811,,588.4419757256677,606.9746704101562,625.5073650946448,6.106579265314412,0.09262733977457865
2025-01-15,614.6538696289062,619.972556750708,604.0763139738187,607.7715100133968,15524300,58.34203273391689,,,,602.9528259277342,,588.6285451162081,606.8212768554688,625.0140085947295,5.996075758429213,0.7152670881342791
2025-01-16,608.8571166992188,613.7873477153851,607.2735046849263,609.0563296194044,8355300,55.70995001578908,,,,602.3084106445312,,588.6905311641987,606.9368286132812,625.1831260623638,6.0125853594257626,0.5526213082762731
2025-01-17,610.3213500976562,622.4725494595965,601.2576778233948,621.5562428618572,17280600,56.24690387684512,,,,601.9762481689454,,588.979763313654,606.3213134765625,623.6628636394711,5.720250889243696,0.6153309993488735
2025-01-21,613.9965209960938,619.0163582351468,606.5762805693779,615.3610413311562,11674000,57.6352178361621,,,,602.9358947753906,,589.3304522141946,607.9408203125,626.5511884108055,6.122427537844609,0.6626969614895775
2025-01-22,621.0083618164062,631.1676126122295,616.954619104307,620.8091489005574,12274000,60.22816530447592,,,,604.3268127441406,,604.3199047567483,613.7674438476563,623.2149829385643,3.0785403121684514,0.8832171478241562
2025-01-23,633.9066772460938,634.0560413523201,618.6678301446317,624.8529752907019,9910200,64.52895628826565,7.567856556166589,,,606.8765838623048,,597.1259374945611,617.6180053710938,638.1100732476265,6.635838883686724,0.8974384618756215
2025-01-24,644.9025268554688,649.3945139716581,631.6656574969397,633.8568781379164,19065300,67.73241851633207,9.480767149079384,,,609.2490661621094,,596.0562259362649,624.8270874023438,653.5979488684226,9.209223494356115,0.8488849208911275
2025-01-27,657.2429809570312,661.2170263231972,622.601940216737,624.1059156551349,28399200,70.90788787187485,11.855867033120717,,,611.8451477050781,,599.1713176668752,634.2114135742188,669.2515094815624,11.049973291987438,0.8286458953153947
2025-01-28,671.63525390625,679.8522851881131,656.8345913596311,663.3385252994983,20950100,74.10816291911614,14.729692225590838,,,615.3799621582032,,606.3023048283922,645.7391601562501,685.1760154841081,12.214484659197502,0.8283235127992952
2025-01-29,673.7865600585938,678.3283346794067,663.0097923014414,672.3025242132258,21377800,74.5586779077966,16.985019095370035,,,619.1986358642577,,622.042760873143,656.2947998046876,690.5468387362322,10.438004062119015,0.755338963745557
2025-01-30,684.2545776367188,707.949485012391,673.3981124232191,694.0353417764899,29322900,76.68454980985435,19.39350714378986,,,623.9675018310546,,635.5952216080544,666.3643798828126,697.1335381575708,9.23493488057368,0.790716398449264
2025-01-31,686.4259033203125,702.4814799874082,682.8403138955325,688.2386375622425,19303900,77.11177295999852,21.23270174174104,,,629.130288696289,,651.3504675342678,674.6690551757813,697.9876428172948,6.912600322372283,0.7520917717074931
2025-02-03,694.6728515625,701.1866947109021,672.5515846641146,673.2089204422564,21415700,78.70760940726834,23.089574272370328,,,634.0216674804688,,663.1802751722378,682.155029296875,701.1297834215122,5.563179426880509,0.8298546632910407
2025-02-04,701.3759155273438,704.8818683424153,688.846170752285,699.6926666804768,13826300,79.9323324864633,24.8159772349037,8.243648073555644,16.572329161348055,638.979769897461,,667.0813468427787,688.1031616210937,709.1249763994088,6.110076497480411,0.8156900116906531
