date,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,SMA_20,SMA_50,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0
2024-12-13,442.983642578125,447.10377945438483,441.30983602760955,444.142443353527,20177800,,,,,,,,,,,
2024-12-16,447.2622375488281,447.8465797272876,441.01271109813007,442.9836304987913,23598800,100.0,,,,,,,,,,
2024-12-17,450.1047668457031,450.9268296361061,445.2616448801094,446.68784735190707,22733500,100.0,,,,,,,,,,
2024-12-18,433.1983337402344,448.3120705924071,432.83185420697276,446.9948298056794,24444500,76.2532347361436,,,,,,,,,,
2024-12-19,432.8417663574219,438.93282241461935,432.13857903304347,437.38777493352876,22963700,75.84416163733374,,,,,,425.3695613741622,441.2781494140625,457.18673745396285,7.210231488245707,0.23484815134186202
2024-12-20,432.4159240722656,439.48748337745457,424.5223020050907,428.9593493416428,64263700,75.32444045593884,,,,,,421.6609441069418,439.16460571289065,456.66826731883947,7.971344401735353,0.3072208606246305
2024-12-23,431.078857421875,433.4558513948008,428.6820357713906,432.5545685943141,19152500,73.6186523523593,,,,,,419.9966555631825,435.9279296875,451.8592038118175,7.309132101601297,0.3478127917520612
2024-12-24,435.1197204589844,435.3871522905164,430.02899474815183,430.484577930417,7164500,75.42960487587158,,,,,,430.0042050962633,432.93092041015626,435.8576357240492,1.3520472555391463,0.8739345672669309
2024-12-26,433.9114074707031,436.7143034093448,432.44561022869516,434.8721127935591,8194200,73.79825844320835,,,,,,430.0151348086247,433.07353515625005,436.1319355038754,1.4124161830955175,0.6369788482896996
2024-12-27,426.4040832519531,431.04913980352325,422.2641488688207,430.4350863105853,18117700,64.46902653312843,,,,,,425.0411536992326,431.7859985351563,438.53084337108,3.1241609773386463,0.10103490783519757
2024-12-30,420.7586669921875,423.45260132830686,417.8567536350218,421.97689027997586,13158700,58.481921332927435,,,,,,417.64269552378397,429.45454711914067,441.26639871449737,5.500862279648802,0.13190021239466104
2024-12-31,417.4606018066406,422.64049156656444,416.6286554798762,422.016524265212,13246500,55.25361721458976,,,,,,411.1217704244921,426.7308959960938,442.3400215676955,7.315676328130018,0.20304889447750338
2025-01-02,414.568603515625,421.9868450538027,410.8743686174563,421.45201157982797,16896500,52.51602873015351,,,,,,407.2348316457658,422.62067260742197,438.00651356907815,7.281158712247047,0.2383285999165101
2025-01-03,419.2928771972656,419.96635323692743,415.51939233739597,417.0446121521978,16662900,56.323018966593175,,,,,,410.88916630719996,419.69696655273447,428.504766798269,4.19721892101301,0.47706071072208345
2025-01-06,423.7497863769531,430.15778356293015,421.4025036603563,423.8983428352595,20573600,59.612764285007465,,,,,,412.2662360995365,419.16610717773443,426.06597825593235,3.292189401788748,0.8321568727350657
2025-01-07,418.3222961425781,426.52294519780327,416.7673346717813,424.88876369017254,18139100,54.25369988759567,,,,,,412.00074865578256,418.6788330078125,425.35691735984244,3.1900749813666023,0.4733054535971833
2025-01-08,420.4913024902344,422.87821031177674,417.5002550030301,419.4018380991605,15054600,55.957686939056764,,,,,,412.6095900355763,419.2849731445313,425.96035625348634,3.1841747434406464,0.5903565627630253
2025-01-10,414.93505859375,420.63983782074297,411.042698272716,420.56061778951556,20201100,50.7433987601003,,,,,,412.9386461100621,419.3582641601563,425.7778822102505,3.0616389844853433,0.15549308916116905
2025-01-13,413.1919250488281,414.48936844362913,408.3388895039501,411.2606004893305,17604800,49.19462849019564,,,,,,409.66537433378477,418.13807373046876,426.61077312715275,4.0525845068801285,0.20811258312926587
2025-01-14,411.6865234375,415.71749643981025,406.78394867710017,413.805999460752,16935900,47.836705587512874,,,,426.9889190673827,,408.4581413988718,415.72542114257817,422.9927008862845,3.496192137460822,0.22211763909487886
2025-01-15,422.2244873046875,424.04685017409594,414.2615295855494,415.1133035563719,19637800,56.82160012670567,,,,425.9509613037109,,407.272114906259,416.50585937500006,425.7396038437411,4.433908556579265,0.8096592042939177
2025-01-16,420.5110778808594,425.3740271428382,420.3229265289763,424.5916197701724,15300000,55.158012392303924,,,,424.61340332031244,,407.2675216014729,416.50981445312505,425.7521073047772,4.437971222256668,0.716464869267752
2025-01-17,424.91845703125,430.31623990051855,424.06671321451194,429.9299628963343,26197500,58.52199724260415,,,,423.3540878295898,,406.9431147784599,418.506494140625,430.06987350279013,5.526021471140958,0.7772529850401972
