date,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,SMA_20,SMA_50,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0
2025-01-07,240.89407348632812,244.215923537777,240.0387452815234,241.6598791297847,40856000,57.49328958510386,,,,,,237.25576526887662,243.63708801269533,250.01841075651404,5.238383692622528,0.2850747692534253
2025-01-08,241.38140869140625,242.38593107741448,238.74581220273618,240.6056476428208,37628900,58.06111774965454,,,,,,239.95282442794937,242.10147705078126,244.25012967361315,1.7750016637702755,0.33243723258858676
2025-01-10,235.56320190429688,238.85521627248303,231.73411285331812,238.70602211575698,61710900,49.55062643178047,,,,,,234.58597751768522,240.70908203125,246.8321865448148,5.08755586776726,0.0797981142120606
2025-01-13,233.12649536132812,233.39503269669683,228.47192915300568,232.2612269401141,49630700,46.477962369867285,,,,,,230.13249360154506,238.92681579589845,247.72113799025183,7.36151960595823,0.1702235654787264
2025-01-14,232.01258850097656,234.8371551382162,231.20699165927476,233.47460320476435,39435300,45.10112194142628,,,,246.51983566284179,,227.9073221028349,236.5955535888672,245.2837850748995,7.3443742743617735,0.2362544324895991
2025-01-15,236.57762145996094,237.66171090461415,233.15630892744326,233.36517465190275,39832000,51.448817169444766,,,,246.00962219238284,,228.43280683479102,235.73226318359377,243.03171953239652,6.193005785650786,0.5579055641935458
2025-01-16,227.01986694335938,236.71689557722044,226.79112077355302,236.06049286491137,71759100,40.80956308723242,,,,244.87681121826168,,225.37501729314212,232.85995483398438,240.34489237482663,6.428703077073582,0.10987731301978
2025-01-17,228.73052978515625,231.02797728143995,227.2386791848797,230.85890270118193,68488300,43.07841426479553,,,,243.7081962585449,,223.98130919935076,231.49342041015626,239.00553162096176,6.4901293501090995,0.31610425168986844
2025-01-21,221.43038940429688,223.20071739531107,218.1881065481907,222.783001089375,98070400,36.626338708987404,,,,242.4445991516113,,217.85509769868963,229.15419921875002,240.4533007388104,9.861570556928172,0.1582113276555521
2025-01-22,222.61392211914062,222.90233985709415,218.59586314481808,218.59586314481808,64126500,38.241334439004824,,,,241.15365066528318,,215.249178234384,227.27446594238285,239.2997536503817,10.582172227871313,0.30621903041279525
2025-01-23,222.44485473632812,225.7965406078772,221.09224303438072,223.51898889751178,60234800,38.091999785256434,-10.795369800178634,,,239.62052536010742,,218.01075738555917,224.44791259765623,230.88506780975328,5.735990268384677,0.34441435732636627
2025-01-24,221.5696258544922,224.4041477572621,220.2070739772995,223.55875977197638,54697900,37.280376781255434,-10.755768914162957,,,238.0048500061035,,217.2615107927977,223.35786437988284,229.45421796696797,5.458821523039431,0.3533353996084675
2025-01-27,228.6111602783203,230.88871192185238,222.76310174211312,222.80289291870474,94863400,47.05454119721338,-10.040451868071386,,,236.59554901123047,,217.34280850143872,223.33399047851566,229.3251724555926,5.365221804562951,0.9404114096346775
2025-01-28,236.96551513671875,238.88503723433337,229.55599442275542,229.5957855991,75707600,55.84626340073941,-8.699152918833136,,,235.56318969726564,,213.40947685801422,226.441015625,239.4725543919858,11.50987486168743,0.9038087788366789
2025-01-29,238.05955505371094,238.55683854812662,232.73861559310797,232.84801856891494,45486100,56.85659648999804,-7.461868188372648,,,234.7560989379883,,213.9592944174144,229.5301422119141,245.10099000641378,13.567584321996257,0.7738904443215291
2025-01-30,236.2991485595703,239.48175963713217,235.92122345328548,237.3732826437262,55658300,54.688120635492986,-6.547881317164155,,,234.029566192627,,218.17014261996408,232.30100097656248,246.43185933316087,12.165990070808261,0.6414686738099283
2025-01-31,234.7178192138672,245.84702671405668,232.17173004375724,245.84702671405668,100959800,52.74219610402176,-5.883320937758725,,,233.3124839782715,,227.46172014473936,234.9306396484375,242.39955915213565,6.3584039228557225,0.4857529302287337
2025-02-03,226.77120971679688,230.5704628324937,224.47376244068877,228.7404632470789,73063300,44.225848279467975,-5.929525148101845,,,232.52478561401372,,225.52118105811616,234.56264953613282,243.6041180141495,7.7092141446192946,0.06912752401449089
2025-02-04,231.5352020263672,231.86341095944582,225.4186058340825,226.0153521080233,45067300,49.491295610781144,-5.5181185172869505,2.4409323282608755,-7.959050845547826,231.9996543884278,,224.57477993606167,233.47658691406252,242.37839389206337,7.625438675165664,0.390955572700402
2025-02-05,231.2069854736328,231.4058958330951,227.0298072213747,227.2883891710869,39620300,49.147045706945995,-5.159089360401879,2.239969188116758,-7.399058548518637,231.3765586853028,,224.75773174079777,232.1060729980469,239.45441425529603,6.331881938574667,0.43882377716691257
2025-02-06,231.9529266357422,232.5297773409264,229.17807609142312,230.0334043541599,29925300,49.998298527171606,-4.759500391387405,2.1116465257049857,-6.871146917092391,230.92950134277348,,225.52178168657983,231.23682861328123,236.95187553998264,4.943024829543227,0.5626502311919134
2025-02-07,226.39328002929688,232.72866665415378,226.0252799376335,231.33627899238985,39707200,44.07622176387998,-4.835697362714882,1.6283596435020078,-6.46405700621689,230.18009490966801,,224.0814892658792,229.5719207763672,235.06235228685517,4.783190811768632,0.21052905941924716
2025-02-10,226.662109375,229.58935370973873,226.21406518332185,228.57379092662126,33115600,44.41903616079078,-4.818843106260488,1.316171119965122,-6.13501422622561,229.73504028320318,,224.00343706697367,229.55010070800782,235.09676434904196,4.832638821700721,0.2396641008080518
2025-02-11,231.61053466796875,234.2092091135714,227.1400288616486,227.20971719471092,53718400,50.44127157742232,-4.355976436308538,1.4232302319336583,-5.779206668242196,229.65924224853518,,223.9912006590512,229.56516723632814,235.13913381360507,4.856108306308299,0.6834750355320433
2025-02-12,235.8420867919922,235.9317077791751,229.67894615315132,230.19669384296432,45243300,54.93764996706359,-3.606131138716904,1.738460423620234,-5.344591562337138,229.85071716308596,,222.52497829336806,230.4921875,238.45939670663194,6.913214103303988,0.8357448733452933
2025-02-13,240.48187255859375,241.28835511000761,234.54774465400956,235.8819260401158,53614100,59.29818146227147,-2.60742463484965,2.189733541989991,-4.797158176839641,230.0459297180176,,220.09062818960834,232.1979766845703,244.30532517953228,10.428470280263651,0.8421019836618432
2025-02-14,243.53855895996094,244.484433375407,239.94422402720738,240.2030902821229,40896200,61.912991219704395,-1.5514098019687879,2.596598699896683,-4.148008501865471,230.87186431884768,,222.110003479776,235.62703247070314,249.1440614616303,11.47324129085893,0.7926503484814653
2025-02-18,243.40911865234375,244.11602908498713,240.7905267294893,243.0905000064508,48822500,61.73213189975508,-0.716693592177279,2.745051927750554,-3.461745519927833,231.60579376220704,,228.64160834693604,238.97643432617187,249.3112603054077,8.6492427660295,0.7144537477011121
2025-02-19,243.80738830566406,244.94244069837237,242.10481731288857,243.59830810290342,32204200,62.098993463997694,-0.02277540883153506,2.7511760888770382,-2.7739514977085733,232.72464370727542,,234.62333724985126,241.41580505371093,248.2082728575706,5.627193963003753,0.6760467124035666
2025-02-20,244.7632293701172,245.7091038330044,243.2299036494767,243.87709210808563,32316900,63.01538732650683,0.5974016619949225,2.6970825277627966,-2.099680865767874,233.83210906982424,,239.9814661582547,243.20003356933594,246.41860098041718,2.6468478345531397,0.7428403076783947
2025-02-21,244.4844207763672,247.6107939080121,244.155851012499,244.88267886995578,53197400,62.54038348396939,1.0542462409245843,2.5231416853539668,-1.4688954444293825,234.9340873718262,,242.81043861672256,244.00054321289065,245.19064780905873,0.9754933989058512,0.7032920320762293
2025-02-24,246.02769470214844,247.7800515637824,243.35931688895815,243.8670982314444,51326400,64.15120215738015,1.5232688738699665,2.3937314546394792,-0.8704625807695128,236.15699081420902,,242.48017728046133,244.4983703613281,246.5165634421949,1.6508846892388074,0.8788845466072812
2025-02-25,245.96795654296875,248.91511822751468,243.84721006662005,246.92379728169456,48013300,64.03641221958378,1.8686121220393659,2.191259762247103,-0.32264764020773706,237.02483062744147,,243.07706078080096,245.0101379394531,246.94321509810524,1.5779568755067934,0.7477445349836677
