date,aapl,sp500,vix,fed_rate,googl,msft
2024-12-13,246.7819061279297,6051.08984375,13.8100004196167,4.2179999351501465,188.9464569091797,442.983642578125
2024-12-16,249.6761016845703,6074.080078125,14.6899995803833,4.228000164031982,195.75498962402344,447.2622375488281
2024-12-17,252.1028289794922,6050.60986328125,15.869999885559082,4.239999771118164,194.5207061767578,450.1047668457031
2024-12-18,246.7023468017578,5872.16015625,27.6200008392334,4.23199987411499,187.53297424316406,433.1983337402344
2024-12-19,248.43287658691406,5867.080078125,24.09000015258789,4.21999979019165,187.64248657226562,432.841796875
2024-12-20,253.10736083984375,5930.85009765625,18.360000610351562,4.215000152587891,190.5291748046875,432.41595458984375
2024-12-23,253.8831329345703,5974.06982421875,16.780000686645508,4.215000152587891,193.7343292236328,431.078857421875
2024-12-24,256.7972412109375,6040.0400390625,14.270000457763672,4.199999809265137,195.20755004882812,435.1197509765625
2024-12-26,257.61273193359375,6037.58984375,14.729999542236328,4.215000152587891,194.69989013671875,433.91143798828125
2024-12-27,254.20138549804688,5970.83984375,15.949999809265137,4.177999973297119,191.8729248046875,426.4040832519531
2024-12-30,250.8297882080078,5906.93994140625,17.399999618530273,4.182000160217285,190.3599395751953,420.7586975097656
2024-12-31,249.05946350097656,5881.6298828125,17.350000381469727,4.208000183105469,188.4288787841797,417.46063232421875
2025-01-02,242.52516174316406,5868.5498046875,17.93000030517578,4.208000183105469,188.55825805664062,414.568603515625
2025-01-03,242.03781127929688,5942.47021484375,16.1299991607666,4.192999839782715,190.9073944091797,419.2928771972656
2025-01-06,243.66891479492188,5975.3798828125,16.040000915527344,4.190000057220459,195.96401977539062,423.749755859375
2025-01-07,240.8940887451172,5909.02978515625,17.81999969482422,4.203000068664551,194.59039306640625,418.3222961425781
2025-01-08,241.38140869140625,5918.25,17.700000762939453,4.204999923706055,193.05746459960938,420.49127197265625
2025-01-10,235.56320190429688,5827.0400390625,19.540000915527344,4.2129998207092285,191.15625,414.9350280761719
2025-01-13,233.12649536132812,5836.22021484375,19.190000534057617,4.2179999351501465,190.13099670410156,413.1919250488281
2025-01-14,232.0125732421875,5842.91015625,18.709999084472656,4.2129998207092285,188.78720092773438,411.6864929199219
2025-01-15,236.57763671875,5949.91015625,16.1200008392334,4.204999923706055,194.65011596679688,422.2244873046875
2025-01-16,227.0198516845703,5937.33984375,16.600000381469727,4.195000171661377,192.0222625732422,420.51104736328125
2025-01-17,228.7305145263672,5996.66015625,15.970000267028809,4.192999839782715,195.0980224609375,424.91845703125
2025-01-21,221.43038940429688,6049.240234375,15.0600004196167,4.197000026702881,197.1385955810547,424.3935546875
2025-01-22,222.6139373779297,6086.3701171875,15.100000381469727,4.215000152587891,197.4571075439453,441.9239196777344
2025-01-23,222.44485473632812,6118.7099609375,15.020000457763672,4.2129998207092285,197.0689239501953,442.4289855957031
2025-01-24,221.5696258544922,6101.240234375,14.850000381469727,4.204999923706055,199.28868103027344,439.8044128417969
2025-01-27,228.6111602783203,6012.27978515625,17.899999618530273,4.188000202178955,190.9272918701172,430.39544677734375
2025-01-28,236.9655303955078,6067.7001953125,16.40999984741211,4.190000057220459,194.40126037597656,442.91436767578125
2025-01-29,238.05955505371094,6039.31005859375,16.559999465942383,4.188000202178955,194.51075744628906,438.09100341796875
2025-01-30,236.29916381835938,6071.169921875,15.84000015258789,4.182000160217285,199.94561767578125,411.01300048828125
2025-01-31,234.71780395507812,6040.52978515625,16.43000030517578,4.188000202178955,203.0811309814453,411.0823059082031
2025-02-03,226.7711944580078,5994.56982421875,18.6200008392334,4.190000057220459,200.303955078125,406.9820251464844
2025-02-04,231.5352020263672,6037.8798828125,17.209999084472656,4.2129998207092285,205.43028259277344,408.4181213378906
2025-02-05,231.20700073242188,6061.47998046875,15.770000457763672,4.210000038146973,190.44952392578125,409.32928466796875
2025-02-06,231.95291137695312,6083.56982421875,15.5,4.2129998207092285,190.71827697753906,411.8350524902344
2025-02-07,226.39328002929688,6025.990234375,16.540000915527344,4.228000164031982,184.48709106445312,405.8232116699219
