Date,Close,High,Low,Open,Volume
2021-04-26,15.439085960388184,15.440083849597968,15.08697376083181,15.146823331502622,197796000
2021-04-27,15.34307861328125,15.631102358075223,15.315896833735502,15.53933364907408,164572000
2021-04-28,15.238344192504883,15.493202662488455,15.177248440038793,15.325874024683353,209416000
2021-04-29,15.28622055053711,15.3976892392755,15.033607148432132,15.361281030191163,173196000
2021-04-30,14.97176456451416,15.326371032074357,14.95929618068849,15.136350655609169,201912000
2021-05-03,14.79944896697998,15.20841803404415,14.750323136442555,15.086974247402853,203912000
2021-05-04,14.315169334411621,14.600699789762439,13.975027035475872,14.600450555269253,405324000
2021-05-05,14.422148704528809,14.776256666947063,14.351327112045158,14.672018629638556,292024000
2021-05-06,14.486488342285156,14.534617237657999,14.182255771749805,14.4588080917108,193380000
2021-05-07,14.77501106262207,14.933112300510395,14.63486422135409,14.771021408101264,229328000
2021-05-10,14.229884147644043,14.768775720170076,14.21417381349999,14.750072669633822,268904000
2021-05-11,14.270280838012695,14.318658960168204,13.715429742573756,13.790240987277931,285584000
2021-05-12,13.723910331726074,14.22439889185973,13.674784499511132,13.974278753404459,303408000
2021-05-13,13.63089370727539,14.045349728476552,13.425162054864115,13.998467009467184,285404000
2021-05-14,14.207191467285156,14.291977805422704,13.713934538144024,13.85507926247416,258616000
2021-05-17,14.12988567352295,14.133626093303139,13.818670761725361,14.12140694475875,216980000
2021-05-18,13.980513572692871,14.368037075620663,13.96879289213659,14.231132182866967,186256000
2021-05-19,14.030387878417969,14.04410338609354,13.509201440576488,13.532392615609274,344000000
2021-05-20,14.575763702392578,14.646834538609415,14.234623498296415,14.266542637893258,321592000
2021-05-21,14.954057693481445,15.183729159487287,14.8321154486356,15.125625184737823,672992000
2021-05-24,15.572751998901367,15.705417059399807,15.137847278130703,15.174255494540118,554816000
2021-05-25,15.608410835266113,15.77873122812608,15.443576455372922,15.72636344352039,435408000
2021-05-26,15.660527229309082,15.754041525206162,15.547063711617795,15.69469137749072,370440000
2021-05-27,15.449061393737793,15.710402780852254,15.42113191055747,15.66027906156566,581476000
2021-05-28,16.203659057617188,16.236577036281336,15.46202947906416,15.46202947906416,644536000
2021-06-01,16.22360610961914,16.347045652019425,15.86326447044786,16.229093072524805,472804000
2021-06-02,16.736066818237305,16.876214600887355,16.194681963051526,16.211390186002433,594168000
2021-06-03,16.92708969116211,17.215613878178374,16.54131266131784,16.65876682044273,580008000
2021-06-04,17.534053802490234,17.616594160834808,17.05251764406751,17.069473196196565,617120000
2021-06-07,17.574705123901367,17.76771918028066,17.149528167001655,17.52707659864361,575756000
2021-06-08,17.413114547729492,17.577200286108283,17.20763114477439,17.48318750071493,323848000
2021-06-09,17.318578720092773,17.53483445076462,17.216313965511866,17.475719983872768,381656000
2021-06-10,17.38517189025879,17.452020091808027,17.13674237056941,17.3103444553602,287772000
2021-06-11,17.784507751464844,17.898247503293362,17.403879495985695,17.439547219530038,416308000
2021-06-14,17.977569580078125,17.9982722041519,17.62238417950147,17.865078154683058,321376000
